,group4,shh,shh,shh,group4,group3,group3,shh,group3,group4,group3,group4,group4,wnt,group4,group4,group4,shh,shh,wnt,group4,shh,group4,group4,shh,group3
miR-10b-3p,6.00E-06,1.42E-05,0,0,3.26E-06,2.47E-05,8.42E-05,0,0.00178251,3.03E-05,4.03E-05,1.84E-05,4.83E-06,8.23E-06,9.30E-06,0,0,2.63E-06,9.61E-06,6.67E-06,2.14E-05,5.37E-06,1.68E-05,0.001295208,2.91E-05,0.000942765
miR-10b-5p,5.40E-05,0.000184257,5.65E-05,0.000275092,0,0.000959681,0.003391692,4.23E-05,0.085530566,0.002186049,0.002353765,0.000688968,4.10E-05,0.000535028,0.000176701,0.000468223,4.39E-05,0,3.36E-05,0.000396714,0.00287046,0.000139518,8.38E-05,0.072352869,0.00096414,0.075443942
miR-1178-3p,0,4.72E-06,0,0,9.77E-06,0,3.37E-06,0,0,0,0,0,0,1.65E-05,0,0,0,0,4.81E-06,0,3.05E-06,1.07E-05,0,1.19E-05,0,0
miR-1178-5p,0,9.45E-06,1.65E-05,4.37E-05,3.26E-05,9.89E-06,4.38E-05,2.35E-06,8.37E-05,2.52E-06,3.10E-06,4.59E-05,4.83E-06,4.94E-05,0,7.15E-06,7.32E-06,0,5.77E-05,6.67E-06,3.05E-06,0,0.000100572,9.93E-05,4.16E-05,8.20E-05
miR-1179,0.000389823,0.000600016,0.000134162,0.000109164,2.93E-05,7.42E-05,5.73E-05,2.82E-05,7.78E-05,0.000121027,2.32E-05,0.000124014,6.04E-05,4.94E-05,0.000158101,0.000114375,0.00013899,0.001351739,9.13E-05,9.33E-05,5.19E-05,0.000107321,4.47E-05,0.000591982,0.000415578,0.000314255
miR-1180-3p,0.001382371,0.000595292,0.000369533,0.002475831,0.001617975,0.004471916,0.002051182,0.00035913,0.002524225,0.001333817,0.000983964,0.000528209,0.001723976,0.001049478,0.00293416,0.001586956,0.000923554,0.000811571,0.000836422,0.001773546,0.002577618,0.00129859,0.001150986,0.004926559,0.004874724,0.002800967
miR-1180-5p,3.00E-05,6.61E-05,3.53E-05,8.30E-05,7.81E-05,7.42E-05,4.38E-05,2.11E-05,0.00011365,3.28E-05,3.56E-05,9.65E-05,3.86E-05,9.05E-05,5.58E-05,5.00E-05,3.29E-05,1.05E-05,0.000115369,5.67E-05,9.15E-05,5.90E-05,0.000201143,0.000194679,9.56E-05,8.20E-05
miR-1182,3.00E-06,7.56E-05,8.00E-05,0.000135363,0.00026695,7.91E-05,0.000185246,8.45E-05,0.000317024,7.56E-06,1.86E-05,0.000330705,1.69E-05,2.47E-05,5.58E-05,2.86E-05,2.01E-05,1.84E-05,5.77E-05,4.33E-05,1.22E-05,4.83E-05,0.000636953,0.000508548,0.00026597,0.000382571
miR-1183,3.00E-06,4.72E-06,7.06E-06,1.31E-05,2.60E-05,2.97E-05,3.37E-05,1.41E-05,8.97E-05,2.52E-06,0,6.43E-05,0,2.47E-05,0,3.57E-06,5.49E-06,7.90E-06,6.73E-05,0,0,3.22E-05,9.50E-05,0.000139056,2.08E-05,0.000177622
miR-1184,3.00E-06,4.72E-06,4.71E-06,4.37E-06,9.77E-06,7.42E-06,1.68E-05,4.69E-06,0,5.04E-06,1.55E-06,9.19E-06,2.41E-06,2.47E-05,9.30E-06,0,0,2.63E-06,6.25E-05,6.67E-06,3.05E-06,0,0,3.58E-05,8.31E-06,6.38E-05
miR-1185-1-3p,0.00035084,0.000188981,2.59E-05,9.61E-05,4.23E-05,2.47E-06,7.07E-05,0.00011971,5.98E-05,5.55E-05,1.08E-05,0.000192911,0.000156945,0,0.000274351,4.29E-05,6.22E-05,0.000158098,0.000302842,6.67E-05,0.000125068,0.000279036,6.70E-05,0.000536359,0.000278437,3.19E-05
miR-1185-2-3p,0.000335847,0.000137012,1.88E-05,0.000135363,7.49E-05,2.47E-06,5.05E-05,0.000122057,4.79E-05,8.07E-05,0,0.000179132,0.000166603,8.23E-06,0.0001116,7.86E-05,4.94E-05,0.000110669,0.000173053,3.33E-05,0.000109816,0.000236107,6.15E-05,0.000452926,0.00029506,4.10E-05
miR-1185-5p,0.002045069,0.000340167,4.47E-05,0.000261993,0.000198585,4.95E-06,0.000104412,0.000241767,0.000101687,0.000436201,4.65E-06,0.00057414,0.000842672,8.23E-06,0.000344101,0.000368145,0.000523042,0.000218702,0.000413404,0.000103346,0.000924282,0.000617098,0.000318477,0.001084637,0.001525169,0.000177622
miR-1193,0,1.89E-05,1.18E-05,1.75E-05,7.81E-05,1.98E-05,2.36E-05,1.17E-05,6.58E-05,2.52E-06,3.10E-06,6.89E-05,0,3.70E-05,0,1.07E-05,1.10E-05,0,5.77E-05,1.67E-05,0,2.15E-05,0.000100572,0.000135083,8.31E-05,4.10E-05
miR-1197,0.000170922,4.72E-06,1.41E-05,2.62E-05,2.28E-05,0,3.70E-05,1.17E-05,3.59E-05,4.29E-05,0,4.59E-05,7.73E-05,0,2.79E-05,5.36E-05,3.47E-05,4.22E-05,7.21E-05,1.33E-05,3.97E-05,5.37E-05,3.35E-05,7.15E-05,0.000303372,3.19E-05
miR-1199-3p,3.00E-06,4.72E-06,4.71E-06,8.73E-06,9.77E-06,7.42E-06,0,2.35E-06,3.59E-05,0,4.65E-06,1.84E-05,2.41E-06,8.23E-05,1.40E-05,3.57E-06,3.66E-06,1.58E-05,7.21E-05,2.00E-05,3.05E-06,3.76E-05,3.35E-05,7.95E-06,1.66E-05,1.82E-05
miR-1200,0,0,2.35E-06,0,3.26E-06,0,6.74E-06,0,1.79E-05,0,0,1.38E-05,0,5.35E-05,9.30E-06,3.57E-06,5.49E-06,2.63E-06,3.85E-05,0,9.15E-06,2.68E-05,2.23E-05,3.97E-06,4.57E-05,1.37E-05
miR-1202,4.50E-05,0.000330718,0.00031069,0.000515252,0.000810615,0.000210239,0.000703936,0.000201864,0.00125015,3.53E-05,8.83E-05,0.001047231,4.35E-05,0.000827235,0.000204601,0.000139395,0.000122531,7.64E-05,0.001004668,0.000150018,5.80E-05,0.000295134,0.002145527,0.001605105,0.000868557,0.001357217
miR-1204,0,9.45E-06,7.06E-06,4.37E-06,0,0,3.37E-06,0,0.001812418,2.52E-06,0,0,0,3.29E-05,9.30E-06,3.57E-06,0,5.27E-06,1.44E-05,0,0,2.15E-05,0,1.19E-05,1.25E-05,4.55E-06
